System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:52:38.503,0.00,0.15,0.00,0.67,0.00,0.01,0.74,0.07,0.00,0.01,0.00,0.00,0.82,5.55,241.13,0.30,7.38,0.00,0.02,0.43,0.47,0.00,99.10,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.74,0.07,0.00,0.01,0.00,0.00,N/A,0.82,5.55,241.13,0.30,7.38,0.00,0.02,0.43,0.47,0.00,99.10,100.00,0.00,0.00,0.00,
2023-05-04,11:52:38.603,0.00,0.17,0.00,0.67,0.00,0.01,0.94,0.09,0.00,0.01,0.00,0.00,0.90,5.14,238.66,0.35,8.72,0.00,0.02,0.40,0.43,0.00,99.16,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.94,0.09,0.00,0.01,0.00,0.00,N/A,0.90,5.14,238.66,0.35,8.72,0.00,0.02,0.40,0.43,0.00,99.16,100.00,0.00,0.00,0.00,
2023-05-04,11:52:38.704,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.79,4.64,240.91,0.34,8.50,0.00,0.02,0.36,0.31,0.00,99.33,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.79,4.64,240.91,0.34,8.50,0.00,0.02,0.36,0.31,0.00,99.33,100.00,0.00,0.00,0.00,
2023-05-04,11:52:38.803,0.00,0.20,0.00,0.67,0.00,0.01,0.74,0.09,0.00,0.01,0.00,0.00,0.86,4.25,238.54,0.40,10.08,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.74,0.09,0.00,0.01,0.00,0.00,N/A,0.86,4.25,238.54,0.40,10.08,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:52:38.904,0.00,0.13,0.00,0.67,0.00,0.01,0.95,0.08,0.00,0.01,0.00,0.00,0.99,7.38,240.91,0.27,6.73,0.00,0.03,0.57,0.66,0.00,98.77,100.00,0.00,0.00,0.00,0.00,0.13,0.00,0.67,0.00,0.01,0.95,0.08,0.00,0.01,0.00,0.00,N/A,0.99,7.38,240.91,0.27,6.73,0.00,0.03,0.57,0.66,0.00,98.77,100.00,0.00,0.00,0.00,
2023-05-04,11:52:39.005,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.70,3.88,240.94,0.36,8.98,0.00,0.02,0.30,0.25,0.00,99.45,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.70,3.88,240.94,0.36,8.98,0.00,0.02,0.30,0.25,0.00,99.45,100.00,0.00,0.00,0.00,
2023-05-04,11:52:39.104,0.00,0.17,0.00,0.67,0.00,0.01,0.76,0.08,0.00,0.01,0.00,0.00,0.87,5.09,238.60,0.34,8.54,0.00,0.02,0.40,0.35,0.00,99.25,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.76,0.08,0.00,0.01,0.00,0.00,N/A,0.87,5.09,238.60,0.34,8.54,0.00,0.02,0.40,0.35,0.00,99.25,100.00,0.00,0.00,0.00,
2023-05-04,11:52:39.205,0.00,0.21,0.00,0.67,0.00,0.01,0.93,0.09,0.00,0.01,0.00,0.00,0.99,4.75,240.95,0.42,10.43,0.00,0.03,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.93,0.09,0.00,0.01,0.00,0.00,N/A,0.99,4.75,240.95,0.42,10.43,0.00,0.03,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,
2023-05-04,11:52:39.305,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.14,0.00,0.01,0.00,0.00,0.79,4.14,238.34,0.38,9.57,0.00,0.02,0.33,0.28,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.14,0.00,0.01,0.00,0.00,N/A,0.79,4.14,238.34,0.38,9.57,0.00,0.02,0.33,0.28,0.00,99.40,100.00,0.00,0.00,0.00,
