System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:35:46.113,0.00,0.16,0.00,0.67,0.01,0.02,0.56,0.06,0.01,0.02,0.00,0.00,0.99,6.06,240.79,0.33,8.20,0.00,0.03,0.47,0.47,0.04,99.02,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.01,0.02,0.56,0.06,0.01,0.02,0.00,0.00,N/A,0.99,6.06,240.79,0.33,8.20,0.00,0.03,0.47,0.47,0.04,99.02,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.213,0.00,0.17,0.00,0.67,0.00,0.02,0.80,0.06,0.00,0.01,0.00,0.00,1.28,7.50,238.70,0.34,8.51,0.00,0.03,0.59,0.64,0.48,98.29,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.02,0.80,0.06,0.00,0.01,0.00,0.00,N/A,1.28,7.50,238.70,0.34,8.51,0.00,0.03,0.59,0.64,0.48,98.29,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.314,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,0.81,4.81,240.93,0.34,8.43,0.00,0.02,0.37,0.32,0.00,99.31,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.10,0.00,0.01,0.00,0.00,N/A,0.81,4.81,240.93,0.34,8.43,0.00,0.02,0.37,0.32,0.00,99.31,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.414,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.85,4.97,240.95,0.34,8.55,0.00,0.02,0.39,0.36,0.00,99.25,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.85,4.97,240.95,0.34,8.55,0.00,0.02,0.39,0.36,0.00,99.25,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.514,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.73,4.18,238.56,0.35,8.74,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.73,4.18,238.56,0.35,8.74,0.00,0.02,0.33,0.27,0.00,99.40,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.615,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.75,4.01,240.92,0.37,9.34,0.00,0.02,0.31,0.25,0.00,99.44,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.75,4.01,240.92,0.37,9.34,0.00,0.02,0.31,0.25,0.00,99.44,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.714,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.71,3.85,238.55,0.37,9.25,0.00,0.02,0.30,0.24,0.00,99.46,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.71,3.85,238.55,0.37,9.25,0.00,0.02,0.30,0.24,0.00,99.46,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.814,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.78,4.46,238.56,0.35,8.72,0.00,0.02,0.35,0.31,0.00,99.34,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.46,238.56,0.35,8.72,0.00,0.02,0.35,0.31,0.00,99.34,100.00,0.00,0.00,0.00,
2023-05-04,11:35:46.914,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,0.71,3.76,240.94,0.38,9.41,0.00,0.02,0.29,0.20,0.00,99.51,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.12,0.00,0.01,0.00,0.00,N/A,0.71,3.76,240.94,0.38,9.41,0.00,0.02,0.29,0.20,0.00,99.51,100.00,0.00,0.00,0.00,
