System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:45:24.653,0.00,0.14,0.00,0.67,0.00,0.01,0.95,0.11,0.00,0.01,0.00,0.00,0.80,5.63,241.20,0.28,7.10,0.00,0.02,0.44,0.52,0.59,98.45,100.00,0.00,0.00,0.00,0.00,0.14,0.00,0.67,0.00,0.01,0.95,0.11,0.00,0.01,0.00,0.00,N/A,0.80,5.63,241.20,0.28,7.10,0.00,0.02,0.44,0.52,0.59,98.45,100.00,0.00,0.00,0.00,
2023-05-04,11:45:24.753,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.87,5.11,238.71,0.34,8.55,0.00,0.02,0.40,0.38,0.00,99.22,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.87,5.11,238.71,0.34,8.55,0.00,0.02,0.40,0.38,0.00,99.22,100.00,0.00,0.00,0.00,
2023-05-04,11:45:24.854,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,0.89,5.34,240.91,0.33,8.32,0.00,0.02,0.42,0.41,0.00,99.18,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.08,0.00,0.01,0.00,0.00,N/A,0.89,5.34,240.91,0.33,8.32,0.00,0.02,0.42,0.41,0.00,99.18,100.00,0.00,0.00,0.00,
2023-05-04,11:45:24.953,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,0.75,4.27,238.52,0.35,8.82,0.00,0.02,0.34,0.27,0.00,99.39,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.11,0.00,0.01,0.00,0.00,N/A,0.75,4.27,238.52,0.35,8.82,0.00,0.02,0.34,0.27,0.00,99.39,100.00,0.00,0.00,0.00,
2023-05-04,11:45:25.054,0.00,0.13,0.00,0.67,0.00,0.01,0.96,0.06,0.00,0.01,0.00,0.00,1.23,9.24,240.93,0.27,6.65,0.00,0.03,0.72,0.85,0.00,98.43,100.00,0.00,0.00,0.00,0.00,0.13,0.00,0.67,0.00,0.01,0.96,0.06,0.00,0.01,0.00,0.00,N/A,1.23,9.24,240.93,0.27,6.65,0.00,0.03,0.72,0.85,0.00,98.43,100.00,0.00,0.00,0.00,
2023-05-04,11:45:25.155,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.79,4.80,240.93,0.33,8.20,0.00,0.02,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.79,4.80,240.93,0.33,8.20,0.00,0.02,0.37,0.33,0.00,99.30,100.00,0.00,0.00,0.00,
2023-05-04,11:45:25.254,0.00,0.26,0.00,0.67,0.00,0.01,0.90,0.20,0.00,0.01,0.00,0.00,1.89,7.32,238.55,0.52,12.91,0.00,0.05,0.58,0.57,0.08,98.77,100.00,0.00,0.00,0.00,0.00,0.26,0.00,0.67,0.00,0.01,0.90,0.20,0.00,0.01,0.00,0.00,N/A,1.89,7.32,238.55,0.52,12.91,0.00,0.05,0.58,0.57,0.08,98.77,100.00,0.00,0.00,0.00,
2023-05-04,11:45:25.355,0.00,0.16,0.00,0.67,0.00,0.01,0.71,0.06,0.00,0.01,0.00,0.00,1.04,6.72,240.84,0.31,7.76,0.00,0.03,0.52,0.54,0.28,98.65,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.71,0.06,0.00,0.01,0.00,0.00,N/A,1.04,6.72,240.84,0.31,7.76,0.00,0.03,0.52,0.54,0.28,98.65,100.00,0.00,0.00,0.00,
2023-05-04,11:45:25.455,0.00,0.21,0.00,0.67,0.00,0.01,0.92,0.17,0.00,0.01,0.00,0.00,1.53,7.29,238.52,0.42,10.50,0.00,0.04,0.57,0.60,0.00,98.83,100.00,0.00,0.00,0.00,0.00,0.21,0.00,0.67,0.00,0.01,0.92,0.17,0.00,0.01,0.00,0.00,N/A,1.53,7.29,238.52,0.42,10.50,0.00,0.04,0.57,0.60,0.00,98.83,100.00,0.00,0.00,0.00,
