System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:38:10.692,0.00,0.13,0.00,0.67,0.00,0.02,0.78,0.07,0.00,0.01,0.00,0.00,1.02,7.72,241.05,0.26,6.61,0.00,0.03,0.59,0.64,0.00,98.76,100.00,0.00,0.00,0.00,0.00,0.13,0.00,0.67,0.00,0.02,0.78,0.07,0.00,0.01,0.00,0.00,N/A,1.02,7.72,241.05,0.26,6.61,0.00,0.03,0.59,0.64,0.00,98.76,100.00,0.00,0.00,0.00,
2023-05-04,11:38:10.792,0.00,0.16,0.00,0.67,0.00,0.01,0.93,0.07,0.00,0.01,0.00,0.00,1.08,6.58,238.67,0.33,8.20,0.00,0.03,0.52,0.55,0.12,98.82,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.93,0.07,0.00,0.01,0.00,0.00,N/A,1.08,6.58,238.67,0.33,8.20,0.00,0.03,0.52,0.55,0.12,98.82,100.00,0.00,0.00,0.00,
2023-05-04,11:38:10.892,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.77,4.14,240.91,0.37,9.31,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.77,4.14,240.91,0.37,9.31,0.00,0.02,0.32,0.26,0.00,99.42,100.00,0.00,0.00,0.00,
2023-05-04,11:38:10.993,0.00,0.17,0.00,0.67,0.00,0.01,0.95,0.08,0.00,0.01,0.00,0.00,0.86,5.21,240.93,0.33,8.29,0.00,0.02,0.41,0.35,0.00,99.24,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.95,0.08,0.00,0.01,0.00,0.00,N/A,0.86,5.21,240.93,0.33,8.29,0.00,0.02,0.41,0.35,0.00,99.24,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.092,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.73,4.21,238.54,0.35,8.68,0.00,0.02,0.33,0.28,0.00,99.38,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.73,4.21,238.54,0.35,8.68,0.00,0.02,0.33,0.28,0.00,99.38,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.193,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,0.74,4.28,240.94,0.35,8.68,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.99,0.10,0.00,0.01,0.00,0.00,N/A,0.74,4.28,240.94,0.35,8.68,0.00,0.02,0.33,0.26,0.00,99.41,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.293,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,0.72,3.62,238.55,0.39,9.87,0.00,0.02,0.28,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.97,0.11,0.00,0.01,0.00,0.00,N/A,0.72,3.62,238.55,0.39,9.87,0.00,0.02,0.28,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.393,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.83,4.85,240.94,0.34,8.58,0.00,0.02,0.38,0.33,0.00,99.29,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.83,4.85,240.94,0.34,8.58,0.00,0.02,0.38,0.33,0.00,99.29,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.494,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.73,3.90,240.93,0.37,9.37,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.73,3.90,240.93,0.37,9.37,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.594,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.82,4.50,238.63,0.37,9.14,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.82,4.50,238.63,0.37,9.14,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.694,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.71,3.85,240.96,0.37,9.22,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.71,3.85,240.96,0.37,9.22,0.00,0.02,0.30,0.23,0.00,99.47,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.794,0.00,0.25,0.00,0.67,0.00,0.01,0.90,0.08,0.00,0.01,0.00,0.00,1.24,4.99,238.56,0.50,12.46,0.00,0.03,0.39,0.34,0.00,99.26,100.00,0.00,0.00,0.00,0.00,0.25,0.00,0.67,0.00,0.01,0.90,0.08,0.00,0.01,0.00,0.00,N/A,1.24,4.99,238.56,0.50,12.46,0.00,0.03,0.39,0.34,0.00,99.26,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.895,0.00,0.20,0.00,0.67,0.01,0.01,0.62,0.06,0.00,0.01,0.00,0.00,1.07,5.41,240.93,0.40,9.94,0.00,0.03,0.42,0.36,0.00,99.22,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.01,0.01,0.62,0.06,0.00,0.01,0.00,0.00,N/A,1.07,5.41,240.93,0.40,9.94,0.00,0.03,0.42,0.36,0.00,99.22,100.00,0.00,0.00,0.00,
2023-05-04,11:38:11.995,0.00,0.20,0.00,0.67,0.00,0.01,0.94,0.16,0.00,0.01,0.00,0.00,1.51,7.52,240.93,0.40,10.03,0.00,0.04,0.59,0.62,0.00,98.80,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.94,0.16,0.00,0.01,0.00,0.00,N/A,1.51,7.52,240.93,0.40,10.03,0.00,0.04,0.59,0.62,0.00,98.80,100.00,0.00,0.00,0.00,
2023-05-04,11:38:12.095,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.78,4.53,238.53,0.34,8.58,0.00,0.02,0.36,0.29,0.00,99.36,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.53,238.53,0.34,8.58,0.00,0.02,0.36,0.29,0.00,99.36,100.00,0.00,0.00,0.00,
2023-05-04,11:38:12.196,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.80,5.02,240.94,0.32,8.00,0.00,0.02,0.39,0.37,0.00,99.24,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.80,5.02,240.94,0.32,8.00,0.00,0.02,0.39,0.37,0.00,99.24,100.00,0.00,0.00,0.00,
2023-05-04,11:38:12.295,0.00,0.15,0.00,0.67,0.00,0.01,0.76,0.06,0.00,0.01,0.00,0.00,0.89,5.90,238.55,0.30,7.57,0.00,0.02,0.46,0.48,0.06,98.99,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.76,0.06,0.00,0.01,0.00,0.00,N/A,0.89,5.90,238.55,0.30,7.57,0.00,0.02,0.46,0.48,0.06,98.99,100.00,0.00,0.00,0.00,
2023-05-04,11:38:12.396,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.78,4.49,240.96,0.35,8.67,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.78,4.49,240.96,0.35,8.67,0.00,0.02,0.35,0.30,0.00,99.35,100.00,0.00,0.00,0.00,
