System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C0res%,C3res%,C6res%,C7res%,
2023-05-04,11:40:35.180,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,0.79,5.42,241.06,0.29,7.33,0.00,0.02,0.42,0.47,0.00,99.11,100.00,0.00,0.00,0.00,0.00,0.15,0.00,0.67,0.00,0.01,0.96,0.09,0.00,0.01,0.00,0.00,N/A,0.79,5.42,241.06,0.29,7.33,0.00,0.02,0.42,0.47,0.00,99.11,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.280,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,0.93,5.62,241.07,0.33,8.30,0.00,0.02,0.44,0.45,0.00,99.11,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.96,0.08,0.00,0.01,0.00,0.00,N/A,0.93,5.62,241.07,0.33,8.30,0.00,0.02,0.44,0.45,0.00,99.11,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.380,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,0.83,4.76,238.52,0.35,8.73,0.00,0.02,0.37,0.34,0.00,99.29,100.00,0.00,0.00,0.00,0.00,0.17,0.00,0.67,0.00,0.01,0.97,0.09,0.00,0.01,0.00,0.00,N/A,0.83,4.76,238.52,0.35,8.73,0.00,0.02,0.37,0.34,0.00,99.29,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.481,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,0.69,3.73,240.93,0.37,9.27,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,0.00,0.19,0.00,0.67,0.00,0.01,0.99,0.11,0.00,0.01,0.00,0.00,N/A,0.69,3.73,240.93,0.37,9.27,0.00,0.02,0.29,0.21,0.00,99.50,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.580,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.07,0.00,0.01,0.00,0.00,1.00,6.10,238.59,0.33,8.20,0.00,0.03,0.48,0.52,0.22,98.78,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.96,0.07,0.00,0.01,0.00,0.00,N/A,1.00,6.10,238.59,0.33,8.20,0.00,0.03,0.48,0.52,0.22,98.78,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.681,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,0.76,4.20,240.93,0.36,9.10,0.00,0.02,0.33,0.25,0.00,99.43,100.00,0.00,0.00,0.00,0.00,0.18,0.00,0.67,0.00,0.01,0.98,0.10,0.00,0.01,0.00,0.00,N/A,0.76,4.20,240.93,0.36,9.10,0.00,0.02,0.33,0.25,0.00,99.43,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.782,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,0.86,5.24,240.95,0.33,8.21,0.00,0.02,0.41,0.37,0.00,99.22,100.00,0.00,0.00,0.00,0.00,0.16,0.00,0.67,0.00,0.01,0.98,0.09,0.00,0.01,0.00,0.00,N/A,0.86,5.24,240.95,0.33,8.21,0.00,0.02,0.41,0.37,0.00,99.22,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.881,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,0.67,3.33,238.49,0.40,10.04,0.00,0.02,0.26,0.17,0.00,99.56,100.00,0.00,0.00,0.00,0.00,0.20,0.00,0.67,0.00,0.01,0.99,0.12,0.00,0.01,0.00,0.00,N/A,0.67,3.33,238.49,0.40,10.04,0.00,0.02,0.26,0.17,0.00,99.56,100.00,0.00,0.00,0.00,
2023-05-04,11:40:35.982,0.00,0.22,0.00,0.67,0.00,0.01,0.91,0.18,0.00,0.01,0.00,0.00,1.50,6.65,241.03,0.45,11.25,0.00,0.04,0.52,0.53,0.00,98.96,100.00,0.00,0.00,0.00,0.00,0.22,0.00,0.67,0.00,0.01,0.91,0.18,0.00,0.01,0.00,0.00,N/A,1.50,6.65,241.03,0.45,11.25,0.00,0.04,0.52,0.53,0.00,98.96,100.00,0.00,0.00,0.00,
